"title_moloko	squad_moloko	calories_moloko	protein_moloko	fat_moloko	carbohydrate_moloko	category_moloko	barcode_moloko"
"Молоко Авида питьевое ультрапастеризованное 3.2%, 970мл	Изготовлен из нормализованного молока.	60	3	3.2	60	Молоко	null"
"Молоко Белый Город ультрапастеризованное 3.2%, 1л	Нормализованное молоко.	60	3	3.2	60	Молоко	null"
"Молоко Славянские Кружева питьевое ультрапастеризованное 3.2%, 973мл	Молоко цельное, молоко обезжиренное.	60	3	3.2	60	Молоко	null"
"Молоко Простоквашино ультрапастеризованное 3.2%, 950мл	Нормализованное молоко.	59	2.9	3.2	59	Молоко	null"
"Молоко Домик в деревне стерилизованное 1.5% 950мл	Молоко нормализованное.	44	3	1.5	44	Молоко	null"
"Молоко Parmalat Natura Premium питьевое ультрапастеризованное 0.5%, 1л	Нормализованное молоко.	35	3	0.5	35	Молоко	null"
"Молоко Село Зелёное козье цельное отборное питьевое ультрапастеризованное 2.8-5.6%, 200мл	Молоко козье цельное.	50	2.8	2.8	50	Молоко	null"
"Молоко Viola питьевое ультрапастеризованное 1.5%, 1л	Обезжиренное молоко, цельное молоко.	45	3.1	1.5	4.7	Молоко	null"
"Молоко Домик в деревне стерилизованное 0.5% 950мл	Молоко нормализованное.	35	2.9	0.5	35	Молоко	null"
"Молоко Parmalat UHT Comfort безлактозное ультрапастеризованное обезжиренное 0.05%, 1л	Нормализованное молоко.	32	3.2	0.1	32	Молоко	null"
"Молоко Село Зелёное ультрапастеризованное 3.2%, 950мл	Молоко нормализованное.	60	3	3.2	60	Молоко	null"
"Молоко детское ультрапастеризованное 1.5% Сарафаново, 970мл	Нормализованное молоко.	43.9	2.9	1.5	43.9	Молоко	null"
"Молоко детское ультрапастеризованное 2.5% Сарафаново, 970мл	Нормализованное молоко.	53	2.9	2.5	53	Молоко	null"
"Молоко Вкуснотеево ультрапастеризованное 3.2%, 950мл	Молоко цельное, молоко обезжиренное.	59.6	3	3.2	59.6	Молоко	null"
"Молоко Сарафаново безлактозное ультрапастеризованное 1.5%, 970мл	Нормализованное молоко.	46	3.3	1.5	46	Молоко	null"
"Молоко Домик в деревне стерилизованное 3.5% 950мл	Молоко нормализованное.	62	2.9	3.5	62	Молоко	null"
"Молоко Viola питьевое ультрапастеризованное 3.2%, 1л	Цельное молоко, обезжиренное молоко.	60	3.1	3.2	4.7	Молоко	null"
"Молоко Parmalat Natura Premium питьевое ультрапастеризованное 3.5%, 200мл	Нормализованное молоко.	62	3	3.5	62	Молоко	null"
"Молоко Эконива ультрапастеризованное 2.5%, 1л	Молоко нормализованное.	53	3	2.5	53	Молоко	null"
"Молоко Простоквашино безлактозное ультрапастеризованное 1.5%, 970мл	Молоко нормальзованное.	44	3	1.5	44	Молоко	null"
"Молоко питьевое ультрапастеризованное 2.5% Молочный знак, 973мл	Молоко цельное, молоко обезжиренное.	53	3	2.5	53	Молоко	null"
"Молоко Домик в деревне стерилизованное 2.5% 950мл	Молоко нормализованное.	53	2.9	2.5	53	Молоко	null"
"Молоко Parmalat безлактозное ультрапастеризованное 1.8%, 1л	Нормализованное молоко.	47	3	1.8	47	Молоко	null"
"Молоко ультрапастеризованное М 3.2%, 950мл	Mолоко нормализованное.	59	2.9	3.2	59	Молоко	null"
"Молоко Село Зелёное ультрапастеризованное 2.5%, 950мл	Молоко цельное, молоко обезжиренное.	55	3	2.5	4.7	Молоко	null"
"Молоко Parmalat Natura Premium питьевое ультрапастеризованное 3.5%, 1л	Нормализованное молоко.	62	3	3.5	62	Молоко	null"
"Молоко питьевое ультрапастеризованное 3.2% Молочный знак, 973мл	Молоко цельное, молоко обезжиренное.	60	3	3.2	60	Молоко	null"
"Молоко питьевое ультрапастеризованное 2.5% Пр!ст, 970мл	Молоко нормализованное по содержанию жира.	55	3	2.5	4.7	Молоко	null"
"Молоко Домик в деревне ультрапастерилизованное 3.2% 950мл	Молоко нормализованное.	60	2.9	3.2	60	Молоко	null"
